,state,county,candidate,party,total_votes,won,lat,lng,population,density
165,Georgia,Lee,Donald Trump,REP,12007,True,31.7324,-84.1688,3035.0,238.0
166,Georgia,Liberty,Joe Biden,DEM,13104,True,31.8248,-81.6137,33304.0,702.0
167,Georgia,Lincoln,Donald Trump,REP,3173,True,33.7931,-82.4776,2033.0,223.0
168,Georgia,Long,Donald Trump,REP,3527,True,31.7093,-81.7452,2223.0,358.0
169,Georgia,Lowndes,Donald Trump,REP,25692,True,30.8502,-83.2788,78786.0,604.0
170,Georgia,Lumpkin,Donald Trump,REP,12163,True,34.5311,-83.9804,7004.0,306.0
171,Georgia,McDuffie,Donald Trump,REP,6169,True,33.4679,-82.4968,6553.0,529.0
172,Georgia,McIntosh,Donald Trump,REP,4016,True,31.3568,-81.4314,1956.0,35.0
173,Georgia,Macon,Joe Biden,DEM,2858,True,32.2997,-84.0246,3039.0,257.0
174,Georgia,Madison,Donald Trump,REP,11326,True,34.0625,-83.1263,1825.0,217.0
175,Georgia,Marion,Donald Trump,REP,2275,True,32.3188,-84.5177,2214.0,265.0
176,Georgia,Meriwether,Donald Trump,REP,6524,True,32.8565,-84.6329,3982.0,191.0
177,Georgia,Miller,Donald Trump,REP,2066,True,31.1741,-84.7319,2158.0,101.0
178,Georgia,Mitchell,Donald Trump,REP,4935,True,31.2337,-84.2088,5087.0,297.0
179,Georgia,Monroe,Donald Trump,REP,11057,True,33.0352,-83.939,4239.0,278.0
180,Georgia,Montgomery,Donald Trump,REP,2960,True,32.1834,-82.5959,2537.0,233.0
181,Georgia,Morgan,Donald Trump,REP,8231,True,33.5793,-83.4758,4141.0,182.0
182,Georgia,Murray,Donald Trump,REP,12944,True,34.7808,-84.7835,4247.0,308.0
183,Georgia,Muscogee,Joe Biden,DEM,49446,True,32.51,-84.8771,249510.0,348.0
184,Georgia,Newton,Joe Biden,DEM,29789,True,33.6049,-83.8463,14113.0,347.0
185,Georgia,Oconee,Donald Trump,REP,16595,True,33.861,-83.4072,2932.0,346.0
186,Georgia,Oglethorpe,Donald Trump,REP,5592,True,33.8831,-83.1551,1223.0,405.0
187,Georgia,Paulding,Donald Trump,REP,54517,True,33.9152,-84.8416,13680.0,715.0
188,Georgia,Peach,Donald Trump,REP,6506,True,32.552,-83.8817,8817.0,451.0
189,Georgia,Pickens,Donald Trump,REP,14110,True,34.471,-84.4497,3923.0,177.0
190,Georgia,Pierce,Donald Trump,REP,7898,True,31.2954,-82.2453,3484.0,265.0
191,Georgia,Pike,Donald Trump,REP,9127,True,33.093,-84.3427,1427.0,116.0
192,Georgia,Polk,Donald Trump,REP,13587,True,34.0223,-85.2479,10062.0,425.0
193,Georgia,Pulaski,Donald Trump,REP,2815,True,32.2965,-83.4815,5320.0,382.0
194,Georgia,Putnam,Donald Trump,REP,8291,True,33.3258,-83.3886,6661.0,125.0
195,Georgia,Quitman,Donald Trump,REP,604,True,,,,
196,Georgia,Rabun,Donald Trump,REP,7474,True,34.8775,-83.4027,1837.0,209.0
197,Georgia,Randolph,Joe Biden,DEM,1671,True,31.7713,-84.794,3470.0,439.0
198,Georgia,Richmond,Joe Biden,DEM,59119,True,33.3645,-82.0708,404125.0,252.0
199,Georgia,Rockdale,Joe Biden,DEM,31237,True,33.6646,-83.9966,15705.0,516.0
200,Georgia,Schley,Donald Trump,REP,1800,True,32.238,-84.3089,1880.0,229.0
201,Georgia,Screven,Donald Trump,REP,3915,True,32.7466,-81.6409,2327.0,180.0
202,Georgia,Seminole,Donald Trump,REP,2613,True,31.0404,-84.8792,2783.0,270.0
203,Georgia,Spalding,Donald Trump,REP,18104,True,33.2418,-84.2748,22724.0,627.0
204,Georgia,Stephens,Donald Trump,REP,9367,True,34.581,-83.3263,8328.0,351.0
205,Georgia,Stewart,Joe Biden,DEM,1182,True,32.0885,-84.6625,1549.0,186.0
206,Georgia,Sumter,Joe Biden,DEM,6314,True,32.0736,-84.2248,15319.0,521.0
207,Georgia,Talbot,Joe Biden,DEM,2114,True,32.6773,-84.5406,766.0,95.0
208,Georgia,Taliaferro,Joe Biden,DEM,561,True,33.5545,-82.8966,535.0,66.0
209,Georgia,Tattnall,Donald Trump,REP,6054,True,31.9379,-81.9305,5081.0,278.0
210,Georgia,Taylor,Donald Trump,REP,2420,True,32.557,-84.2377,2047.0,243.0
211,Georgia,Telfair,Donald Trump,REP,2825,True,32.0636,-82.8968,8338.0,500.0
212,Georgia,Terrell,Joe Biden,DEM,2376,True,31.7721,-84.4437,4182.0,430.0
213,Georgia,Thomas,Donald Trump,REP,12969,True,30.8394,-83.9782,18530.0,476.0
214,Georgia,Tift,Donald Trump,REP,10784,True,31.4624,-83.5203,17189.0,521.0
215,Georgia,Toombs,Donald Trump,REP,7873,True,32.2125,-82.4019,10380.0,224.0
216,Georgia,Towns,Donald Trump,REP,6384,True,34.9495,-83.7531,1104.0,261.0
217,Georgia,Treutlen,Donald Trump,REP,2101,True,32.3782,-82.5945,3071.0,269.0
218,Georgia,Troup,Donald Trump,REP,18142,True,33.0274,-85.0384,30494.0,279.0
219,Georgia,Turner,Donald Trump,REP,2349,True,31.7096,-83.6528,3677.0,299.0
220,Georgia,Twiggs,Donald Trump,REP,2370,True,32.6863,-83.3433,997.0,105.0
221,Georgia,Union,Donald Trump,REP,12650,True,34.876,-83.9546,725.0,253.0
222,Georgia,Upson,Donald Trump,REP,8606,True,32.8907,-84.3272,8771.0,355.0
223,Georgia,Walker,Donald Trump,REP,23173,True,34.7089,-85.2815,7310.0,349.0
224,Georgia,Walton,Donald Trump,REP,37839,True,33.799,-83.7161,13568.0,334.0
225,Georgia,Ware,Donald Trump,REP,9903,True,31.2108,-82.3579,13638.0,443.0
226,Georgia,Warren,Joe Biden,DEM,1468,True,33.4067,-82.6653,2084.0,421.0
227,Georgia,Washington,Joe Biden,DEM,4743,True,32.9827,-82.8089,5468.0,164.0
228,Georgia,Wayne,Donald Trump,REP,9987,True,31.5992,-81.8895,9864.0,230.0
229,Georgia,Webster,Donald Trump,REP,748,True,,,,
230,Georgia,Wheeler,Donald Trump,REP,1583,True,32.1469,-82.7798,3345.0,659.0
231,Georgia,White,Donald Trump,REP,12222,True,34.597,-83.7622,3983.0,396.0
232,Georgia,Whitfield,Donald Trump,REP,25644,True,34.769,-84.972,87944.0,612.0
233,Georgia,Wilcox,Donald Trump,REP,2402,True,31.9925,-83.3068,2725.0,344.0
234,Georgia,Wilkes,Donald Trump,REP,2823,True,33.7355,-82.7426,3946.0,197.0
235,Georgia,Wilkinson,Donald Trump,REP,2665,True,32.8866,-83.3349,1951.0,139.0
236,Georgia,Worth,Donald Trump,REP,6830,True,31.53,-83.8338,5809.0,341.0
237,Hawaii,Hawaii,Joe Biden,DEM,58731,True,19.6883,-155.0863,45248.0,325.0
238,Hawaii,Honolulu,Joe Biden,DEM,238869,True,21.3294,-157.846,834138.0,2214.0
239,Hawaii,Kauai,Joe Biden,DEM,21225,True,22.091,-159.3521,9961.0,383.0
240,Hawaii,Maui,Joe Biden,DEM,47305,True,20.8715,-156.4603,29993.0,804.0
241,Idaho,Ada,Donald Trump,REP,130699,True,43.6005,-116.2308,407550.0,1047.0
242,Idaho,Adams,Donald Trump,REP,1941,True,44.7328,-116.4376,823.0,301.0
243,Idaho,Bannock,Donald Trump,REP,23331,True,42.8724,-112.4647,74359.0,648.0
244,Idaho,Bear Lake,Donald Trump,REP,2914,True,42.326,-111.2988,2512.0,418.0
245,Idaho,Benewah,Donald Trump,REP,3878,True,47.3146,-116.5723,3219.0,1046.0
246,Idaho,Bingham,Donald Trump,REP,15295,True,43.194,-112.3454,11936.0,777.0
247,Idaho,Blaine,Joe Biden,DEM,8919,True,43.5141,-114.3001,8575.0,842.0
248,Idaho,Boise,Donald Trump,REP,3485,True,43.6681,-116.0209,1380.0,17.0
249,Idaho,Bonner,Donald Trump,REP,18369,True,48.2822,-116.5614,8692.0,784.0
250,Idaho,Bonneville,Donald Trump,REP,37805,True,43.4871,-112.0362,101326.0,1004.0
251,Idaho,Boundary,Donald Trump,REP,4937,True,48.6928,-116.3184,2639.0,431.0
252,Idaho,Butte,Donald Trump,REP,1202,True,43.6316,-113.3017,758.0,273.0
253,Idaho,Camas,Donald Trump,REP,507,True,43.3489,-114.8006,567.0,249.0
254,Idaho,Canyon,Donald Trump,REP,61759,True,43.5844,-116.5638,181887.0,1116.0
255,Idaho,Caribou,Donald Trump,REP,2906,True,42.659,-111.5878,2994.0,261.0
256,Idaho,Cassia,Donald Trump,REP,7907,True,42.5379,-113.7926,10476.0,632.0
257,Idaho,Clark,Donald Trump,REP,264,True,44.1727,-112.2293,619.0,87.0
258,Idaho,Clearwater,Donald Trump,REP,3453,True,46.4866,-116.2572,3109.0,486.0
259,Idaho,Custer,Donald Trump,REP,2089,True,44.5055,-114.2281,761.0,148.0
260,Idaho,Elmore,Donald Trump,REP,7246,True,43.1324,-115.697,14308.0,911.0
261,Idaho,Franklin,Donald Trump,REP,5845,True,42.0989,-111.8802,5477.0,309.0
262,Idaho,Fremont,Donald Trump,REP,5548,True,43.9648,-111.6841,3552.0,886.0
263,Idaho,Gem,Donald Trump,REP,7951,True,43.8693,-116.4916,6942.0,1029.0
264,Idaho,Gooding,Donald Trump,REP,4659,True,42.9373,-114.7134,3487.0,886.0
265,Idaho,Idaho,Donald Trump,REP,7826,True,45.926,-116.1224,3195.0,818.0
266,Idaho,Jefferson,Donald Trump,REP,12099,True,43.6734,-111.9132,4209.0,671.0
267,Idaho,Jerome,Donald Trump,REP,5734,True,42.7179,-114.5159,11824.0,806.0
268,Idaho,Kootenai,Donald Trump,REP,62837,True,47.704,-116.7936,114880.0,1234.0
269,Idaho,Latah,Joe Biden,DEM,10236,True,46.7308,-116.9986,25652.0,1433.0
270,Idaho,Lemhi,Donald Trump,REP,3592,True,45.1743,-113.8947,3135.0,482.0
271,Idaho,Lewis,Donald Trump,REP,1489,True,46.2269,-116.0283,1334.0,469.0
272,Idaho,Lincoln,Donald Trump,REP,1469,True,42.9369,-114.4055,1620.0,533.0
273,Idaho,Madison,Donald Trump,REP,13559,True,43.8226,-111.7919,29064.0,1116.0
274,Idaho,Minidoka,Donald Trump,REP,6265,True,42.6189,-113.674,5820.0,1091.0
275,Idaho,Nez Perce,Donald Trump,REP,13738,True,46.3934,-116.9933,32853.0,732.0
276,Idaho,Oneida,Donald Trump,REP,2148,True,42.1899,-112.2497,1945.0,444.0
277,Idaho,Owyhee,Donald Trump,REP,3819,True,43.6154,-116.9379,2688.0,734.0
278,Idaho,Payette,Donald Trump,REP,8862,True,44.0788,-116.9255,7655.0,741.0
279,Idaho,Power,Donald Trump,REP,2116,True,42.7828,-112.8541,4295.0,1027.0
280,Idaho,Shoshone,Donald Trump,REP,4216,True,47.5371,-116.142,2221.0,215.0
281,Idaho,Teton,Joe Biden,DEM,3318,True,43.7299,-111.1043,2454.0,292.0
282,Idaho,Twin Falls,Donald Trump,REP,25897,True,42.5645,-114.4613,49819.0,993.0
283,Idaho,Valley,Donald Trump,REP,3947,True,44.9076,-116.1124,3485.0,148.0
284,Idaho,Washington,Donald Trump,REP,4154,True,44.2547,-116.9689,5358.0,693.0
285,Illinois,Adams,Donald Trump,REP,24220,True,39.9336,-91.3799,40111.0,982.0
286,Illinois,Alexander,Donald Trump,REP,1486,True,37.0062,-89.1819,1884.0,104.0
287,Illinois,Bond,Donald Trump,REP,5625,True,38.8867,-89.3894,6725.0,411.0
