state,county,Polarization Indicator,Mean,const
Kansas,Phillips,6.708203932499369,53.113,1
Kansas,Pottawatomie,4.388672938460065,61.708,1
Kansas,Reno,3.667080857356228,41.802,1
Kansas,Republic,5.861138215097012,41.911,1
Kansas,Rice,4.982190504408901,56.867,1
Kansas,Riley,1.0167291633630504,52.725,1
Kansas,Rooks,7.487131817801985,53.879,1
Kansas,Saline,3.5578063622281513,54.134,1
Kansas,Scott,6.441102768784921,66.946,1
Kansas,Sedgwick,2.298505296866717,70.743,1
Kansas,Shawnee,0.9825810223413972,46.613,1
Kansas,Sherman,5.314711078332842,47.115,1
Kansas,Stafford,6.415706533389806,51.871,1
Kansas,Thomas,6.134848297746541,56.476,1
Kansas,Washington,6.510481060287606,43.071,1
Kentucky,Adair,7.6707235643060425,39.609,1
Kentucky,Ballard,7.584373887983587,48.594,1
Kentucky,Barren,5.8020953933957,40.593,1
Kentucky,Bath,5.956953425841691,38.123,1
Kentucky,Boone,4.317215262499562,75.313,1
Kentucky,Boyle,3.406449192912776,41.039,1
Kentucky,Bracken,7.3569694847810805,35.336,1
Kentucky,Breathitt,5.585696017507576,37.451,1
Kentucky,Campbell,2.9852868166544404,47.986,1
Kentucky,Carlisle,10.295630140987,30.693,1
Kentucky,Carroll,5.2771663654356065,42.401,1
Kentucky,Crittenden,6.733003292241386,61.631,1
Kentucky,Floyd,6.1806887352469975,45.246,1
Kentucky,Fulton,5.5884496267542065,52.294,1
Kentucky,Graves,6.174664542583567,41.606,1
Kentucky,Hardin,3.4114361822254313,50.29,1
Kentucky,Harlan,8.460066623421312,30.021,1
Kentucky,Hart,6.158171556807826,52.509,1
Kentucky,Henderson,3.9397133732563128,45.485,1
Kentucky,Hopkins,5.714183995478026,28.109,1
Kentucky,Jefferson,3.192450110012376,150.119,1
Kentucky,Jessamine,3.717975085421966,47.752,1
Kentucky,Kenton,2.969814771586031,57.867,1
Kentucky,Knott,7.4922181851126926,40.325,1
Kentucky,Knox,7.780142173822916,39.632,1
Kentucky,Letcher,7.023984882982283,51.944,1
Kentucky,Lewis,7.500450436924222,19.575,1
Kentucky,Livingston,7.472373360342993,70.695,1
Kentucky,Logan,5.621670090211147,41.098,1
Kentucky,Marion,6.038407537703781,42.026,1
Kentucky,Meade,4.705158181561329,77.79,1
Kentucky,Muhlenberg,6.001726867210889,36.823,1
Kentucky,Nelson,4.82998624462717,29.773,1
Kentucky,Ohio,6.572883477043938,35.954,1
Kentucky,Pike,7.932881711263439,41.545,1
Kentucky,Robertson,8.37323779138698,13.882,1
Kentucky,Rockcastle,8.63490844396259,32.063,1
Kentucky,Scott,3.3672811995978824,44.479,1
Kentucky,Taylor,6.002340367526691,38.337,1
Kentucky,Todd,5.455310868013542,38.41,1
Kentucky,Warren,2.869393969231679,47.429,1
Kentucky,Washington,5.354126134736337,57.241,1
Maine,Cumberland,4.2149288250218415,75.81,1
Maine,Hancock,1.8439088914585775,50.33,1
Maine,Oxford,3.235388992916288,39.91,1
Maine,Penobscot,2.7621784210346787,63.94,1
Maryland,Allegany,4.4322557600253685,58.077,1
Maryland,Anne Arundel,2.2394794096622377,134.719,1
Maryland,Baltimore,3.2972288147468354,75.318,1
Maryland,Calvert,1.5297446665044783,119.254,1
Maryland,Caroline,3.531452087478159,24.12,1
Maryland,Dorchester,2.314463560532701,63.199,1
Maryland,Frederick,1.8128112534614225,96.43,1
Maryland,Garrett,5.156395507924731,33.602,1
Maryland,Harford,2.0703210552495626,114.708,1
Maryland,Howard,3.9330870199366745,59.387,1
Maryland,Montgomery,4.957719631111075,106.032,1
Maryland,Prince George's,6.323058447567478,98.245,1
Maryland,Talbot,0.4605060407077592,73.311,1
Maryland,Washington,3.0634153435624847,84.245,1
Maryland,Wicomico,0.8548134741179866,57.878,1
Maryland,Worcester,3.276267475562484,74.971,1
Massachusetts,Barnstable,3.179622619116929,67.34,1
Massachusetts,Essex,3.597136908625239,108.593,1
Massachusetts,Hampden,1.4142135623730951,79.549,1
Massachusetts,Nantucket,4.693944245810921,92.78,1
Massachusetts,Norfolk,2.891479852550406,110.589,1
Massachusetts,Plymouth,2.5807229062714674,136.869,1
Massachusetts,Worcester,4.117552214599169,51.218,1
Michigan,Alcona,6.047112332970801,58.212,1
Michigan,Alpena,4.069189586014124,41.78,1
